Title,Source,DOI
Metal@Zeolite Hybrid Materials for Catalysis,APPLIED CATALYSIS B-ENVIRONMENT AND ENERGY,10.1016/j.apcatb.2022.121582
Machine learning potential era of zeolite simulation,ACS CENTRAL SCIENCE,10.1021/acscentsci.0c01130
Impact of Zeolite from Coal Fly Ash on Soil Hydrophysical Properties and Plant Growth,CHEMICAL SCIENCE,10.1039/d2sc01225a
Small-Pore Zeolite Membranes: A Review of Gas Separation Applications and Membrane Preparation,AGRICULTURE-BASEL,10.3390/agriculture12030356
The influence of zeolite X ion-exchangeable forms and impregnation with copper nitrate on the adsorption of phosphate ions from aqueous solutions,SEPARATIONS,10.3390/separations9020047
Highly Efficient Photocatalyst Fabricated from the Chemical Recycling of Iron Waste and Natural Zeolite for Super Dye Degradation,JOURNAL OF WATER PROCESS ENGINEERING,10.1016/j.jwpe.2022.103299
Structural Aspects Affecting Phase Selection in Inorganic Zeolite Synthesis,NANOMATERIALS,10.3390/nano12020235
Polymorph Selection in Zeolite Synthesis Occurs after Nucleation,CHEMISTRY OF MATERIALS,10.1021/acs.chemmater.2c03204
On understanding the sequential post-synthetic microwave-assisted dealumination and alkaline treatment of Y zeolite,JOURNAL OF PHYSICAL CHEMISTRY LETTERS,10.1021/acs.jpclett.2c00033
Physico-chemical and adsorption study of hydrothermally treated zeolite A and FAU-type zeolite X prepared from LD (Linz-Donawitz) slag of the steel industry,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2022.111736
Two-step hydrothermal synthesis and conversion mechanism of zeolite X from stellerite zeolite,INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,10.1080/03067319.2022.2079082
Enhanced Catalytic Oxidation of Toluene over Hierarchical Pt/Y Zeolite,RSC ADVANCES,10.1039/d1ra07798h
Selectivity descriptors for the direct hydrogenation of CO<sub>2</sub> to hydrocarbons during zeolite-mediated bifunctional catalysis,CATALYSTS,10.3390/catal12060622
Enhanced Isopropyl Alcohol Conversion over Acidic Nickel Phosphate-Supported Zeolite Catalysts,NATURE COMMUNICATIONS,10.1038/s41467-021-26090-5
Nitrous Oxide Adsorption and Decomposition on Zeolites and Zeolite-like Materials,ACS OMEGA,10.1021/acsomega.2c04647
Influence of zeolite internal curing on shrinkage-creep-cracking behavior of ECC and tensile property of rebar reinforced ECC,MOLECULES,10.3390/molecules27020398
"Direct conversion of methane to zeolite-templated carbons, light hydrocarbons, and hydrogen",JOURNAL OF BUILDING ENGINEERING,10.1016/j.jobe.2022.104669
Calcium/strontium chloride impregnated zeolite A and X granules as optimized ammonia sorbents,CARBON,10.1016/j.carbon.2022.09.050
Effects of Electronegativity and Hydration Energy on the Selective Adsorption of Heavy Metal Ions by Synthetic NaX Zeolite,RSC ADVANCES,10.1039/d2ra02981b
Investigation of the impact of zeolite shaping and salt deposition on the characteristics and performance of composite thermochemical heat storage systems,MATERIALS,10.3390/ma14154066
Adsorption of heavy metals and hardness ions from groundwater onto modified zeolite: Batch and column studies,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d2ta07615b
Intra-crystalline mesoporous zeolite encapsulation-derived thermally robust metal nanocatalyst in deep oxidation of light alkanes,ALEXANDRIA ENGINEERING JOURNAL,10.1016/j.aej.2021.09.041
Mango performance as affected by the soil application of zeolite and biochar under water salinity stresses,NATURE COMMUNICATIONS,10.1038/s41467-021-27828-x
Direct assessment of confinement effect in zeolite-encapsulated subnanometric metal species,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-022-21503-4
"Understanding the Anion-Templated, OSDA-Free, Interzeolite Conversion Synthesis of High Silica Zeolite ZK-5",NATURE COMMUNICATIONS,10.1038/s41467-022-28356-y
Simple Aminated Modified Zeolite 4A Synthesized Using Fly Ash and Its Remediation of Mercury Contamination: Characteristics and Mechanism,CHEMISTRY-A EUROPEAN JOURNAL,10.1002/chem.202201689
Controlling the competitive growth of zeolite phases without using an organic structure-directing agent. Synthesis of Al-rich *BEA,SUSTAINABILITY,10.3390/su142315924
Amorphous Aluminosilicate Nanosheets as Universal Precursors for the Synthesis of Diverse Zeolite Nanosheets for Polymer-Cracking Reactions,MICROPOROUS AND MESOPOROUS MATERIALS,10.1016/j.micromeso.2022.111726
Zeolite membrane process for industrial CO<sub>2</sub>/CH<sub>4</sub> separation,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202213773
Preparation and Antibacterial Activity of Nano Copper Oxide- Loaded Zeolite 10X,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2022.137223
Applications of Nano-Zeolite in Wastewater Treatment: An Overview,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms23158421
Micelle Formation inside Zeolites: A Critical n Step in Zeolite Surfactant-Templating Observed by Raman Microspectroscopy,WATER,10.3390/w14020137
A priori control of zeolite phase competition and intergrowth with high-throughput simulations,ACS MATERIALS LETTERS,10.1021/acsmaterialslett.1c00514
Toward sustainability in zeolite manufacturing: An industry perspective,SCIENCE,10.1126/science.abh3350
