Patent Number,Title,Unique Identifier,
US2016060128-A1; US9561967-B2,"Zeolite coating preparation method involves filling reactor with synthesis solution, adding electrically conductive substrate, producing magnetic field by operating induction device, and synthesizing at desired substrate and conditions.",DIIDW:201613812X,
WO2018110860-A1; KR2018067779-A; KR2018088360-A; KR1891003-B1; KR1940455-B1; CN110291041-A; EP3553026-A1; US2019330071-A1; JP2020513399-W; EP3553026-A4; US10780429-B2; JP6799304-B2; CN110291041-B,"Preparation of zeolite used for e.g. adsorbent, involves preparing hydrogel comprising structure-inducing material containing benzyl group, zeolite raw material, basic material and water, and hydrothermally synthesizing hydrated gel.",DIIDW:201849482L,
WO2011122446-A1; JP2011206649-A; AU2011232989-A1; TW201142006-A; CA2792259-A1; US2013008827-A1; EP2554259-A1; KR2013010073-A; CN102844116-A; VN32687-A; ID201300817-A; JP5468957-B2; RU2012145803-A; CN102844116-B; MY156706-A; EP2554259-A4; US9637692-B2; KR1821949-B1; EP2554259-B1,"Catalyst for hydroisomerization of hydrocarbon, contains support comprising baked zeolite prepared from ion exchange zeolite and modified by specific metal, and inorganic oxide, and metal supported to support.",DIIDW:2011M61691,
JP2015164909-A,"Manufacture of olefin e.g. propylene, involves reacting synthesis gas containing specified amount of carbon dioxide with catalyst and dispersion medium, contacting mixture with decomposition catalyst containing zeolite, and cracking.",DIIDW:201557101R,
CN103551184-A; CN103551184-B,"Catalyst used for preparing propylene from methanol, comprises pentasil zeolite coated with metal oxide, and is prepared by hydrothermal synthesis method.",DIIDW:2014F75502,
CN117682534-A,"Synthesis of nano-zeolite socony mobil molecular sieves used in catalysis applications, involves mixing silicon source, aluminum source, template agent and water, adjusting solution pH value, adding control source to material to react, hydro-thermally crystallizing, and performing acid treatment.",DIIDW:202428336L,
CN105032496-A; WO2016202076-A1; CN105032496-B; CA2989045-A1; AU2016278389-A1; EP3311917-A1; IN201727046477-A; US2018111117-A1; RU2654205-C1; JP2018524156-W; EP3311917-A4; US10286389-B2; JP6653715-B2,"Carrier useful as catalyst for selective synthesis of high-quality synthesis gas from kerosene fraction, comprises mesoporous zirconia, silicoaluminophosphate zeolite, modified aluminum SBA-16, Sesbania powder and alumina.",DIIDW:201574211H,
WO200240403-A1; DE10056362-A1; AU200221851-A; EP1334068-A1; US2004047803-A1; EP1334068-B1; DE50107707-G,"Synthesis of zeolite nanoparticles, used e.g. as ion exchanger, involves reacting strongly alkaline solutions of e.g. silicate and aluminate.",DIIDW:2002471611,
CN104399516-A; CN104399516-B,"Synthesizing modified ZSM-5 zeolite powder for degradability of nitrophenol from wastewater, involves utilizing ZSM-5 zeolite and titanium dioxide/ZSM-5 composite to obtain product.",DIIDW:201526905W,
CN103949280-A; WO2015172592-A1; CN103949280-B; CA2948943-A1; AU2015258645-A1; KR2017005475-A; US2017056867-A1; EP3144063-A1; AU2015258645-B2; JP2017521232-W; IN201627041538-A; US9795950-B2; EP3144063-A4; KR1828965-B1; JP6337152-B2; RU2656598-C1; IN327449-B,"New catalyst comprising amorphous silica alumina, alumina bonding agent, hydrothermally modified zeolite, nitrile powder, nickel oxide and molybdenum, useful in Fischer-Tropsch synthesis for producing aviation kerosene.",DIIDW:2014S85525,
